HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,705,294,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,685,289,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,680,290,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,691,291,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,673,286,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,669,281,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,685,291,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,677,286,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,679,288,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,675,285,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,678,289,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,671,288,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,683,285,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,678,287,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,686,281,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,677,281,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,682,284,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,677,291,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,680,287,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,672,286,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,666,281,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,668,282,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,665,281,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,667,280,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,658,280,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,662,274,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,640,272,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
