type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,4.731073,-74.05284,2558.1,
T,4.731072,-74.05281,2558.1,
T,4.731067,-74.05278,2558.1,
T,4.731067,-74.05273,2558.2,
T,4.731062,-74.05269,2558.3,
T,4.731055,-74.05265,2558.3,
T,4.731035,-74.05256,2558.4,
T,4.731027,-74.05252,2558.4,
T,4.731017,-74.05247,2558.5,
T,4.73101,-74.05243,2558.5,
T,4.731003,-74.05238,2558.6,
T,4.730997,-74.05233,2558.6,
T,4.730988,-74.05229,2558.7,
T,4.730982,-74.05223,2558.7,
T,4.730972,-74.05218,2558.8,
T,4.730962,-74.05213,2558.8,
T,4.730957,-74.05209,2558.9,
T,4.730953,-74.05205,2558.9,
T,4.730948,-74.05201,2558.9,
T,4.730945,-74.05197,2559,
T,4.730937,-74.05193,2559,
T,4.73093,-74.05189,2559,
T,4.730923,-74.05185,2559.1,
T,4.73092,-74.05181,2559.1,
T,4.730913,-74.05176,2559.2,
T,4.730905,-74.05172,2559.2,
T,4.730895,-74.05168,2559.2,
T,4.730885,-74.05164,2559.2,
T,4.730873,-74.0516,2559.1,
T,4.73086,-74.05156,2559,
T,4.730848,-74.05152,2558.9,
T,4.730835,-74.05147,2558.8,
T,4.730828,-74.05143,2558.7,
T,4.73082,-74.05138,2558.6,
T,4.73081,-74.05133,2558.6,
