HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,695,493,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,684,487,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,679,481,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,669,480,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,669,498,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,669,519,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,669,540,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,549,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,556,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,563,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,797,569,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,779,549,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,769,541,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,742,527,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,721,518,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,718,505,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,722,510,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,722,518,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,722,540,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,722,573,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,580,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,608,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,584,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,462,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,516,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,514,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,533,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,502,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,493,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,490,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,494,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,494,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,513,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,534,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,522,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,538,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
