type,latitude,longitude,altitude (m),name
T,4.72657,-74.05088,2555.8,
T,4.726532,-74.05089,2555.7,
T,4.726485,-74.0509,2555.6,
T,4.72645,-74.0509,2555.6,
T,4.726408,-74.05091,2555.5,
T,4.72635,-74.05091,2555.4,
T,4.726277,-74.05091,2555.2,
T,4.726228,-74.05092,2555.2,
T,4.726188,-74.05094,2555.1,
T,4.726147,-74.05095,2555.1,
T,4.726108,-74.05095,2555,
T,4.72607,-74.05097,2555,
T,4.72604,-74.05098,2555,
T,4.725995,-74.05099,2555,
T,4.725952,-74.051,2555,
T,4.725918,-74.05101,2555,
T,4.725867,-74.05105,2555.1,
T,4.725832,-74.05106,2555.1,
T,4.725787,-74.05106,2555.1,
T,4.72574,-74.05107,2555.1,
T,4.725702,-74.05108,2555.1,
T,4.725663,-74.05107,2555,
T,4.725608,-74.05108,2555,
T,4.725562,-74.05109,2555,
T,4.725512,-74.0511,2555,
T,4.725445,-74.05111,2555,
T,4.725377,-74.05112,2555,
T,4.725315,-74.05113,2555,
T,4.725262,-74.05114,2555,
T,4.725198,-74.05115,2554.9,
T,4.725138,-74.05116,2554.9,
T,4.725085,-74.05117,2554.9,
T,4.725033,-74.05118,2554.9,
T,4.724983,-74.05119,2554.9,
T,4.724928,-74.0512,2554.9,
T,4.724892,-74.05121,2554.9,
T,4.72485,-74.05125,2555,
T,4.724795,-74.05126,2555,
T,4.724745,-74.05128,2555.1,
T,4.724703,-74.0513,2555.1,
T,4.724648,-74.05131,2555.1,
T,4.724588,-74.05132,2555.1,
T,4.724523,-74.05132,2555.1,
T,4.724465,-74.05133,2555.1,
T,4.724415,-74.05134,2555.1,
T,4.724358,-74.05135,2555.1,
T,4.724305,-74.05135,2555,
T,4.724255,-74.05137,2555,
T,4.724208,-74.05137,2555,
T,4.72416,-74.05138,2555,
T,4.724112,-74.05139,2555.1,
T,4.724057,-74.0514,2555.2,
T,4.724003,-74.05141,2555.3,
T,4.723952,-74.05142,2555.4,
T,4.7239,-74.05143,2555.5,
T,4.723842,-74.05144,2555.7,
T,4.723783,-74.05145,2555.8,
T,4.72373,-74.05146,2555.9,
T,4.723683,-74.05147,2556,
T,4.723633,-74.05149,2556.1,
T,4.723585,-74.0515,2556.3,
T,4.723547,-74.05151,2556.3,
T,4.723507,-74.05151,2556.4,
T,4.723462,-74.05152,2556.5,
T,4.723427,-74.05152,2556.6,
T,4.723378,-74.05153,2556.7,
T,4.723327,-74.05153,2556.8,
T,4.723267,-74.05154,2556.8,
T,4.723207,-74.05155,2556.7,
T,4.723103,-74.05156,2556.6,
T,4.723042,-74.05156,2556.6,
T,4.722983,-74.05157,2556.5,
T,4.722922,-74.05158,2556.5,
T,4.722875,-74.05159,2556.4,
T,4.722828,-74.05159,2556.4,
T,4.722785,-74.0516,2556.3,
T,4.722743,-74.0516,2556.3,
T,4.722695,-74.05161,2556.2,
T,4.722655,-74.05162,2556.2,
T,4.722613,-74.05163,2556.1,
