type,latitude,longitude,altitude (m),name
T,4.729775,-74.0504,2556.7,
T,4.729722,-74.05041,2556.6,
T,4.729668,-74.05043,2556.7,
T,4.729615,-74.05044,2556.6,
T,4.729568,-74.05046,2556.6,
T,4.729517,-74.05048,2556.6,
T,4.729465,-74.0505,2556.6,
T,4.729413,-74.05051,2556.6,
T,4.729347,-74.05052,2556.5,
T,4.729303,-74.05054,2556.5,
T,4.729255,-74.05053,2556.4,
T,4.729197,-74.05055,2556.4,
T,4.729142,-74.05055,2556.3,
T,4.729087,-74.05056,2556.2,
T,4.729035,-74.05057,2556.2,
T,4.728983,-74.05056,2556.1,
T,4.728933,-74.05058,2556.1,
T,4.728877,-74.05059,2556,
T,4.728815,-74.05059,2555.9,
T,4.728757,-74.05059,2555.9,
T,4.728705,-74.05059,2555.8,
T,4.728662,-74.0506,2555.7,
T,4.728615,-74.05062,2555.7,
T,4.728563,-74.05064,2555.6,
T,4.728517,-74.05065,2555.5,
T,4.728472,-74.05066,2555.4,
T,4.728427,-74.05067,2555.4,
T,4.728382,-74.05068,2555.3,
T,4.728337,-74.05069,2555.2,
T,4.728292,-74.0507,2555.1,
T,4.728245,-74.0507,2555.1,
T,4.728198,-74.05071,2555,
T,4.728152,-74.05072,2554.9,
T,4.728105,-74.05072,2554.9,
T,4.72806,-74.05073,2554.8,
T,4.728012,-74.05075,2554.7,
T,4.727967,-74.05075,2554.7,
T,4.727925,-74.05076,2554.6,
T,4.727883,-74.05076,2554.5,
T,4.72784,-74.05077,2554.5,
T,4.727798,-74.05079,2554.4,
T,4.727752,-74.05079,2554.4,
T,4.727707,-74.0508,2554.3,
T,4.727667,-74.05081,2554.2,
T,4.727628,-74.0508,2554.2,
T,4.727592,-74.05082,2554.1,
T,4.727557,-74.05082,2554.1,
T,4.727525,-74.05082,2554,
T,4.72749,-74.05082,2554,
T,4.727452,-74.05081,2554.1,
T,4.727407,-74.05082,2554.2,
T,4.727365,-74.05082,2554.3,
T,4.727323,-74.05082,2554.4,
T,4.727275,-74.05083,2554.5,
T,4.727235,-74.05083,2554.6,
T,4.727198,-74.05084,2554.7,
T,4.727165,-74.05084,2554.8,
T,4.727143,-74.05083,2554.9,
T,4.727108,-74.05083,2554.9,
T,4.72707,-74.05084,2555,
T,4.727033,-74.05085,2555.2,
T,4.726995,-74.05085,2555.2,
T,4.726957,-74.05086,2555.3,
T,4.726927,-74.05085,2555.4,
T,4.726887,-74.05084,2555.5,
T,4.726847,-74.05084,2555.6,
T,4.72681,-74.05084,2555.7,
T,4.726777,-74.05085,2555.7,
T,4.726735,-74.05086,2555.8,
T,4.72669,-74.05088,2555.9,
T,4.726648,-74.05089,2556,
T,4.726605,-74.0509,2555.9,
T,4.72656,-74.05092,2555.8,
T,4.726517,-74.05092,2555.7,
T,4.72647,-74.05093,2555.6,
T,4.726425,-74.05094,2555.6,
T,4.72638,-74.05095,2555.5,
T,4.726335,-74.05096,2555.4,
T,4.726293,-74.05098,2555.4,
T,4.726252,-74.051,2555.4,
T,4.726208,-74.05101,2555.4,
T,4.72615,-74.05101,2555.3,
T,4.726103,-74.05103,2555.3,
T,4.726053,-74.05103,2555.2,
T,4.726007,-74.05104,2555.2,
T,4.725963,-74.05105,2555.2,
T,4.725922,-74.05105,2555.1,
T,4.725878,-74.05105,2555.1,
T,4.725835,-74.05105,2555,
T,4.725793,-74.05106,2555.1,
T,4.725752,-74.05106,2555,
T,4.725713,-74.05106,2555,
T,4.725673,-74.05107,2555,
T,4.725633,-74.05108,2555,
T,4.725588,-74.05109,2555.1,
T,4.725542,-74.0511,2555.1,
T,4.72549,-74.05111,2555.1,
T,4.725447,-74.05112,2555.1,
T,4.725402,-74.05113,2555.1,
T,4.725365,-74.05114,2555.1,
T,4.725325,-74.05114,2555,
T,4.725285,-74.05115,2555,
T,4.725247,-74.05116,2555,
T,4.725202,-74.05117,2555,
T,4.725163,-74.05119,2555,
T,4.725118,-74.05119,2555,
T,4.72508,-74.0512,2555,
T,4.72504,-74.05121,2554.9,
T,4.725013,-74.05123,2555,
T,4.724973,-74.05124,2555,
T,4.724933,-74.05125,2555,
T,4.724895,-74.05126,2555,
T,4.724847,-74.05126,2555,
T,4.724807,-74.05126,2555,
T,4.724772,-74.05127,2555,
T,4.724735,-74.05128,2555,
T,4.724697,-74.05128,2555,
T,4.724658,-74.05128,2555,
T,4.72462,-74.05129,2555.1,
T,4.724585,-74.05129,2555,
T,4.724553,-74.0513,2555.1,
T,4.724513,-74.05131,2555.1,
T,4.724475,-74.05131,2555.1,
T,4.724437,-74.05132,2555.1,
T,4.724397,-74.05132,2555,
T,4.724357,-74.05133,2555,
T,4.724315,-74.05134,2555,
T,4.724275,-74.05135,2555,
T,4.724233,-74.05136,2555,
T,4.724188,-74.05136,2555,
T,4.724147,-74.05136,2555,
T,4.724105,-74.05137,2555.1,
T,4.724067,-74.05137,2555.2,
T,4.724027,-74.05138,2555.3,
T,4.723983,-74.05138,2555.4,
T,4.723942,-74.05139,2555.4,
T,4.723898,-74.0514,2555.5,
T,4.723857,-74.0514,2555.6,
T,4.723815,-74.0514,2555.7,
T,4.723773,-74.0514,2555.8,
T,4.72373,-74.05141,2555.9,
T,4.723688,-74.05142,2556,
T,4.723647,-74.05144,2556.1,
T,4.72361,-74.05145,2556.2,
T,4.723567,-74.05147,2556.3,
T,4.723527,-74.05148,2556.4,
T,4.723487,-74.05148,2556.4,
T,4.723452,-74.05149,2556.5,
T,4.723405,-74.05149,2556.6,
T,4.723375,-74.0515,2556.7,
T,4.723342,-74.05151,2556.8,
T,4.723308,-74.05151,2556.8,
T,4.723272,-74.05151,2556.8,
T,4.723237,-74.05151,2556.7,
T,4.7232,-74.05152,2556.7,
T,4.723162,-74.05152,2556.7,
T,4.723127,-74.05152,2556.6,
T,4.72309,-74.05153,2556.6,
T,4.72305,-74.05154,2556.6,
T,4.723007,-74.05155,2556.5,
T,4.722962,-74.05156,2556.5,
T,4.722917,-74.05157,2556.4,
T,4.722878,-74.05158,2556.4,
T,4.72284,-74.0516,2556.4,
T,4.722802,-74.0516,2556.3,
T,4.722762,-74.0516,2556.3,
T,4.722717,-74.05161,2556.2,
T,4.722677,-74.05162,2556.2,
T,4.722635,-74.05162,2556.2,
T,4.72259,-74.05163,2556.1,
T,4.722548,-74.05164,2556.1,
T,4.722508,-74.05165,2556,
T,4.722465,-74.05165,2556,
T,4.722422,-74.05166,2556.1,
T,4.722378,-74.05166,2556.2,
T,4.722337,-74.05167,2556.2,
T,4.722293,-74.05168,2556.3,
T,4.722252,-74.0517,2556.3,
T,4.722205,-74.05172,2556.4,
T,4.722157,-74.05173,2556.5,
T,4.722107,-74.05175,2556.5,
T,4.722057,-74.05173,2556.6,
T,4.722013,-74.05172,2556.6,
T,4.721965,-74.05172,2556.7,
T,4.721922,-74.05172,2556.7,
T,4.721878,-74.05173,2556.8,
T,4.721833,-74.05174,2556.8,
T,4.721787,-74.05175,2556.9,
T,4.721742,-74.05176,2556.9,
T,4.721692,-74.05176,2557,
T,4.72164,-74.05176,2556.9,
T,4.721588,-74.05177,2556.8,
T,4.721538,-74.05177,2556.7,
T,4.721497,-74.05177,2556.6,
T,4.72145,-74.05178,2556.5,
T,4.721407,-74.05178,2556.4,
T,4.72136,-74.05178,2556.3,
T,4.721313,-74.05179,2556.2,
T,4.72127,-74.05179,2556.1,
T,4.721235,-74.0518,2556,
T,4.72119,-74.05183,2556,
T,4.721143,-74.05184,2555.9,
T,4.721092,-74.05185,2555.8,
T,4.72104,-74.05184,2555.7,
T,4.72099,-74.05185,2555.6,
T,4.720942,-74.05185,2555.5,
T,4.72089,-74.05187,2555.4,
T,4.720843,-74.05189,2555.3,
T,4.720793,-74.0519,2555.3,
T,4.720743,-74.05191,2555.3,
T,4.720697,-74.05191,2555.3,
T,4.720642,-74.05193,2555.3,
T,4.720592,-74.05194,2555.3,
T,4.720548,-74.05195,2555.3,
T,4.720498,-74.05196,2555.3,
T,4.720458,-74.05198,2555.3,
T,4.720427,-74.05199,2555.3,
T,4.720407,-74.05199,2555.3,
T,4.720397,-74.05198,2555.3,
T,4.720388,-74.05199,2555.3,
T,4.720378,-74.05197,2555.3,
T,4.72036,-74.05196,2555.3,
T,4.72033,-74.05197,2555.3,
T,4.7203,-74.05196,2555.3,
T,4.720263,-74.05196,2555.3,
T,4.720223,-74.05196,2555.3,
T,4.720178,-74.05196,2555.3,
T,4.720128,-74.05198,2555.3,
T,4.720077,-74.05199,2555.2,
T,4.720023,-74.052,2555.2,
T,4.719973,-74.05201,2555.1,
T,4.719942,-74.05202,2555.1,
T,4.719902,-74.05202,2555,
T,4.719863,-74.05202,2555,
T,4.719823,-74.05202,2554.9,
T,4.719783,-74.05202,2554.9,
T,4.71974,-74.05203,2554.8,
T,4.719707,-74.05202,2554.7,
T,4.719668,-74.05203,2554.7,
T,4.71963,-74.05204,2554.6,
T,4.719583,-74.05204,2554.6,
T,4.71954,-74.05204,2554.5,
T,4.719493,-74.05205,2554.4,
T,4.719447,-74.05206,2554.4,
T,4.719417,-74.05208,2554.3,
T,4.719382,-74.05213,2554.2,
T,4.71936,-74.05218,2554.2,
T,4.719345,-74.05222,2554.1,
T,4.71934,-74.05226,2554.1,
T,4.719323,-74.05231,2554.1,
T,4.71933,-74.05235,2554.1,
T,4.719332,-74.0524,2554,
T,4.71933,-74.05244,2554,
T,4.719333,-74.05249,2554,
T,4.719337,-74.05253,2554.1,
T,4.719342,-74.05258,2554.2,
T,4.719352,-74.05262,2554.3,
T,4.719355,-74.05267,2554.4,
T,4.719338,-74.0527,2554.5,
T,4.7193,-74.05273,2554.6,
T,4.719253,-74.05271,2554.5,
T,4.719218,-74.0527,2554.5,
T,4.7192,-74.05265,2554.4,
T,4.719198,-74.05262,2554.3,
T,4.719197,-74.05259,2554.2,
T,4.719197,-74.05256,2554.1,
T,4.719195,-74.05253,2554.1,
T,4.719207,-74.05251,2554,
T,4.719205,-74.05248,2554,
T,4.719205,-74.05245,2554,
T,4.719208,-74.05243,2554,
T,4.719217,-74.05241,2554,
T,4.719222,-74.05238,2554,
T,4.719223,-74.05235,2554,
T,4.719223,-74.05233,2554,
T,4.719222,-74.05232,2554,
T,4.719212,-74.05228,2554,
T,4.719205,-74.05226,2554,
T,4.719185,-74.05223,2554,
T,4.719178,-74.05219,2554,
T,4.719172,-74.05216,2554,
T,4.719165,-74.05213,2554,
T,4.719162,-74.0521,2554,
T,4.719155,-74.05206,2554,
T,4.71915,-74.05202,2554,
T,4.71915,-74.05199,2554,
T,4.719147,-74.05196,2554,
T,4.719143,-74.05192,2554,
T,4.719133,-74.05188,2554,
T,4.719125,-74.05184,2554,
T,4.719117,-74.05181,2554,
T,4.719112,-74.05177,2554,
T,4.719107,-74.05173,2554,
T,4.719105,-74.05169,2554,
T,4.719102,-74.05165,2554.1,
T,4.719097,-74.05161,2554.3,
T,4.719088,-74.05157,2554.5,
T,4.719085,-74.05153,2554.7,
T,4.719082,-74.05149,2554.8,
T,4.719075,-74.05145,2555,
T,4.719068,-74.0514,2555.3,
T,4.719062,-74.05136,2555.5,
T,4.719055,-74.05132,2555.7,
T,4.719048,-74.05128,2555.9,
