type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,4.661978000,-74.058130000,2565.5,Libro1
T,4.661980000,-74.058080000,2565.5,
T,4.661977000,-74.058080000,2565.5,
T,4.661983000,-74.058090000,2565.5,
T,4.661947000,-74.058110000,2565.6,
T,4.661932000,-74.058130000,2565.6,
T,4.661922000,-74.058140000,2565.6,
T,4.661910000,-74.058140000,2565.7,
T,4.661900000,-74.058150000,2565.7,
T,4.661893000,-74.058160000,2565.7,
T,4.661883000,-74.058160000,2565.7,
T,4.661877000,-74.058170000,2565.7,
T,4.661865000,-74.058160000,2565.8,
T,4.661803000,-74.058170000,2566.0,
T,4.661782000,-74.058170000,2566.0,
T,4.661742000,-74.058180000,2566.1,
T,4.661710000,-74.058200000,2566.2,
T,4.661665000,-74.058230000,2566.2,
T,4.661618000,-74.058250000,2566.2,
T,4.661577000,-74.058280000,2566.1,
T,4.661542000,-74.058310000,2566.1,
T,4.661508000,-74.058330000,2566.0,
T,4.661473000,-74.058350000,2566.0,
T,4.661452000,-74.058360000,2566.0,
T,4.661418000,-74.058390000,2566.0,
T,4.661393000,-74.058400000,2566.1,
T,4.661365000,-74.058420000,2566.1,
T,4.661345000,-74.058430000,2566.1,
T,4.661317000,-74.058430000,2566.1,
T,4.661302000,-74.058450000,2566.1,
T,4.661283000,-74.058460000,2566.1,
T,4.661273000,-74.058470000,2566.2,
T,4.661267000,-74.058500000,2566.2,
T,4.661260000,-74.058530000,2566.2,
T,4.661253000,-74.058540000,2566.2,
T,4.661253000,-74.058550000,2566.3,
T,4.661257000,-74.058550000,2566.3,
T,4.661223000,-74.058510000,2566.2,
T,4.661207000,-74.058470000,2566.2,
T,4.661182000,-74.058430000,2566.1,
T,4.661137000,-74.058390000,2566.1,
T,4.661105000,-74.058350000,2566.0,
T,4.661075000,-74.058310000,2566.1,
T,4.661040000,-74.058270000,2566.3,
T,4.661003000,-74.058220000,2566.5,
T,4.660962000,-74.058170000,2566.7,
T,4.660955000,-74.058120000,2566.9,
T,4.660928000,-74.058060000,2567.2,
T,4.660903000,-74.058020000,2567.4,
T,4.660870000,-74.057970000,2567.7,
T,4.660832000,-74.057930000,2567.9,
T,4.660792000,-74.057890000,2568.3,
T,4.660752000,-74.057830000,2568.7,
T,4.660715000,-74.057780000,2569.1,
T,4.660678000,-74.057730000,2569.5,
T,4.660645000,-74.057680000,2569.9,
T,4.660607000,-74.057630000,2570.2,
T,4.660578000,-74.057570000,2570.6,
T,4.660545000,-74.057530000,2570.9,
T,4.660510000,-74.057480000,2571.3,
T,4.660470000,-74.057430000,2571.6,
T,4.660440000,-74.057390000,2571.9,
T,4.660413000,-74.057350000,2572.1,
T,4.660390000,-74.057310000,2572.4,
T,4.660373000,-74.057270000,2572.6,
T,4.660350000,-74.057230000,2572.8,
T,4.660320000,-74.057180000,2573.1,
T,4.660300000,-74.057140000,2573.3,
T,4.660273000,-74.057090000,2573.5,
T,4.660252000,-74.057050000,2573.7,
T,4.660233000,-74.057020000,2573.8,
T,4.660217000,-74.057000000,2573.9,
T,4.660203000,-74.056980000,2574.0,
T,4.660200000,-74.056960000,2574.0,
T,4.660205000,-74.056940000,2574.1,
