type,latitude,longitude,altitude (m),name
T,4.662608,-74.05544,2571.1,
T,4.66267,-74.05545,2570.6,
T,4.662753,-74.05545,2569.9,
T,4.662792,-74.05543,2569.6,
T,4.662848,-74.05541,2569.1,
T,4.662902,-74.0554,2568.6,
T,4.662958,-74.05536,2568.1,
T,4.66301,-74.05533,2567.6,
T,4.663062,-74.05526,2567.2,
T,4.663113,-74.05525,2566.7,
T,4.6632,-74.05519,2566,
T,4.663248,-74.05521,2565.7,
T,4.663302,-74.0552,2565.2,
T,4.663357,-74.05519,2565,
T,4.663393,-74.05519,2565,
T,4.663425,-74.05523,2565,
T,4.663437,-74.05527,2565,
T,4.66347,-74.0553,2564.9,
T,4.663503,-74.05529,2564.9,
T,4.663555,-74.05523,2564.9,
T,4.663595,-74.05518,2564.9,
T,4.66358,-74.05516,2564.9,
T,4.663575,-74.05513,2565,
T,4.663573,-74.05517,2564.9,
T,4.663612,-74.05522,2564.9,
T,4.663607,-74.05524,2564.9,
T,4.663607,-74.05527,2564.9,
T,4.663642,-74.05523,2564.9,
T,4.663673,-74.05523,2564.9,
T,4.663697,-74.05523,2564.9,
T,4.663697,-74.05523,2564.9,
T,4.663707,-74.05526,2564.9,
T,4.663715,-74.05526,2564.9,
T,4.663738,-74.05525,2564.9,
T,4.663787,-74.0552,2564.9,
T,4.663818,-74.05518,2564.9,
T,4.663848,-74.05515,2564.9,
T,4.663888,-74.0551,2564.9,
T,4.663935,-74.05509,2564.9,
T,4.663937,-74.05506,2564.9,
T,4.663973,-74.05498,2565.1,
T,4.664,-74.05494,2565.3,
T,4.664017,-74.05491,2565.5,
T,4.664027,-74.0549,2565.5,
T,4.664027,-74.05489,2565.6,
T,4.664025,-74.0549,2565.5,
T,4.66403,-74.05489,2565.6,
T,4.664042,-74.05489,2565.5,
T,4.66406,-74.0549,2565.5,
T,4.664092,-74.05491,2565.4,
T,4.664117,-74.05493,2565.3,
T,4.664157,-74.05491,2565.4,
T,4.664192,-74.0549,2565.4,
T,4.664223,-74.05489,2565.4,
T,4.664263,-74.05488,2565.4,
T,4.664292,-74.05482,2565.6,
T,4.664333,-74.05474,2565.8,
T,4.664395,-74.05465,2565.9,
T,4.664447,-74.05463,2565.8,
T,4.664498,-74.05459,2565.8,
T,4.664567,-74.05459,2565.5,
T,4.664642,-74.05454,2565.4,
T,4.664705,-74.05449,2565.2,
T,4.664777,-74.05443,2565,
T,4.664818,-74.05435,2564.9,
T,4.664835,-74.05431,2564.9,
T,4.66484,-74.05429,2564.8,
T,4.664828,-74.0543,2564.9,
T,4.665027,-74.05353,2564.9,
T,4.665075,-74.0535,2565.1,
T,4.665113,-74.05346,2565.3,
T,4.665152,-74.05344,2565.5,
T,4.66519,-74.05342,2565.7,
T,4.665228,-74.05338,2566,
T,4.665273,-74.05335,2566.3,
T,4.665318,-74.05332,2566.6,
T,4.665355,-74.05329,2566.9,
