V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,11.845779249030334,1.0,0,0,2605.183000000002,16.81387386448939,0
0,0,0,372,19/9/2017,21:45:16.00,4.660608,-74.05779,0.0,0.0,0.0,0.0,11.845779249030334,1.0,3.2904942358417593,0,2605.3300000000017,130.6922831907459,130.6922831907459
0,0,790,360,19/9/2017,21:45:17.00,4.660634,-74.05774,0.0,0.0,0.0,0.0,11.70677897536376,0.988265839608825,6.542377284553915,75.9493670886076,2605.4770000000017,130.3635507863171,261.055833977063
0,0,771,351,19/9/2017,21:45:18.00,4.660578,-74.05767,0.0,0.0,0.0,0.0,11.563145359241634,0.9761405405379443,9.75436210656548,77.82101167315174,2605.587000000002,101.3113241995745,362.36715817663753
0,0,927,355,19/9/2017,21:45:19.00,4.660549,-74.05764,0.0,0.0,0.0,0.0,11.415828829885609,0.963704336362682,12.925425670422594,64.72491909385113,2605.6910000000016,96.26941573134133,458.63657390797886
0,0,930,354,19/9/2017,21:45:20.00,4.660539,-74.05763,0.0,0.0,0.0,0.0,11.270172205085707,0.9514082584316481,16.05602906072418,64.51612903225806,2605.913000000002,187.2862439384041,645.9228178463829
0,0,909,363,19/9/2017,21:45:21.00,4.660508,-74.05760,0.0,0.0,0.0,0.0,11.124104120893715,0.9390774458171932,19.146057983194655,66.006600660066,2606.1330000000016,185.3578426215441,831.2806604679271
0,0,897,350,19/9/2017,21:45:22.00,4.660477,-74.05754,0.0,0.0,0.0,0.0,10.981657559450285,0.9270523558295429,22.19651841637529,66.88963210702342,2606.460000000002,267.864322626614,1099.1449830945412
0,0,843,331,19/9/2017,21:45:23.00,4.660470,-74.05752,0.0,0.0,0.0,0.0,10.833920125724669,0.9145806196423512,25.20594067352103,71.17437722419929,2606.770000000002,254.33283009477802,1353.4778131893192
0,0,839,338,19/9/2017,21:45:24.00,4.660447,-74.05750,0.0,0.0,0.0,0.0,10.67770229550121,0.9013929831906381,28.171969088938035,71.51370679380214,2607.084000000002,257.05504153978455,1610.5328547291037
0,0,848,333,19/9/2017,21:45:25.00,4.660422,-74.05746,0.0,0.0,0.0,0.0,10.52471974578534,0.8884784634701738,31.095502351656183,70.75471698113208,2607.412000000002,267.52620079776614,1878.05905552687
0,0,840,328,19/9/2017,21:45:26.00,4.660396,-74.05743,0.0,0.0,0.0,0.0,10.369440160788445,0.8753700320421943,33.97590239631964,71.42857142857143,2607.7410000000023,267.936550344166,2145.995605871036
0,0,835,324,19/9/2017,21:45:27.00,4.660370,-74.05740,0.0,0.0,0.0,0.0,10.211793508947087,0.8620617769643985,36.812511704360496,71.8562874251497,2608.0780000000022,273.7701529371178,2419.765758808154
0,0,832,327,19/9/2017,21:45:28.00,4.660348,-74.05736,0.0,0.0,0.0,0.0,10.052200602144726,0.8485892224411977,39.6047896494007,72.11538461538461,2608.427000000002,282.70416488907864,2702.4699236972324
0,0,840,336,19/9/2017,21:45:29.00,4.660325,-74.05733,0.0,0.0,0.0,0.0,9.894071850450644,0.835240269335641,42.353142941192544,71.42857142857143,2608.771000000002,278.4802997658218,2980.950223463054
0,0,843,332,19/9/2017,21:45:30.00,4.660309,-74.05731,0.0,0.0,0.0,0.0,9.740178690319793,0.8222488774739829,45.05874813294804,71.17437722419929,2609.113000000002,276.59353726131695,3257.543760724371
0,0,846,334,19/9/2017,21:45:31.00,4.660290,-74.05728,0.0,0.0,0.0,0.0,9.584431395729538,0.8091009628188113,47.72109018731736,70.92198581560284,2609.448000000002,270.84355522665976,3528.387315951031
0,0,844,328,19/9/2017,21:45:32.00,4.660270,-74.05725,0.0,0.0,0.0,0.0,9.42961671966976,0.7960317781915144,50.3404281650034,71.09004739336494,2609.7770000000023,265.8741886081441,3794.2615045591747
0,0,814,315,19/9/2017,21:45:33.00,4.660253,-74.05723,0.0,0.0,0.0,0.0,9.271970067828402,0.7827235231137185,52.91597540606685,73.71007371007371,2610.104000000002,264.00722759052314,4058.268732149698
0,0,820,331,19/9/2017,21:45:34.00,4.660228,-74.05719,0.0,0.0,0.0,0.0,9.107817363688833,0.7688660384612837,55.44592467375819,73.17073170731707,2610.4130000000023,249.7472919333792,4308.016024083077
0,0,840,336,19/9/2017,21:45:35.00,4.660205,-74.05716,0.0,0.0,0.0,0.0,8.951599533465371,0.7556784020095704,57.93248009972079,71.42857142857143,2610.729000000002,254.85624630911627,4562.872270392194
0,0,881,356,19/9/2017,21:45:36.00,4.660183,-74.05713,0.0,0.0,0.0,0.0,8.797706373334522,0.7426870101479124,60.37628742564705,68.1044267877412,2611.0410000000024,251.4630755294441,4814.335345921638
0,0,918,368,19/9/2017,21:45:37.00,4.660162,-74.05710,0.0,0.0,0.0,0.0,8.652458896357093,0.7304254717616286,62.779748230190684,65.35947712418302,2611.3490000000024,248.08630470110776,5062.421650622746
0,0,947,384,19/9/2017,21:45:38.00,4.660138,-74.05707,0.0,0.0,0.0,0.0,8.511947750150668,0.7185637661488107,65.14417816078809,63.35797254487856,2611.653000000003,244.72740669682784,5307.149057319573
