V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,11.821893816866934,0.5250850300703364,0,0,2581.3289999999974,18.12108926337956,0
0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,11.926823763974115,0.5297456322788795,3.3130066011039205,0,2581.5359999999973,205.89794062597772,205.89794062597772
0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,12.059827947404091,0.5356531887785131,6.6629588087161675,0,2581.7269999999976,191.83414091501834,397.7320815409961
0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,12.22475313485726,0.5429785588380586,10.05872356839874,0,2581.8859999999972,163.3983152748169,561.130396815813
0,0,0,3777,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,12.422756537873072,0.5517731415366656,13.509489273363481,0,2582.0449999999973,164.0577521324405,725.1881489482535
0,0,0,3777,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,12.623239898125819,0.5606778748118638,17.01594480062065,0,2582.2039999999974,164.69982405075567,889.8879729990091
0,0,0,1602,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,12.838326009350986,0.5702312085610846,20.582146469884815,0,2582.362999999997,165.42367419369882,1055.3116471927078
0,0,0,1376,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.030576504504799,0.5787702682576662,24.201751054469483,0,2582.521999999997,166.0323384942711,1221.3439856869788
0,0,0,1376,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.21968189699563,0.5871696340649313,27.873884914746046,0,2582.6809999999973,166.6738879657624,1388.0178736527412
0,0,0,1311,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.415549126710806,0.5958693358046009,31.60042633883238,0,2582.839999999997,167.36720523206637,1555.3850788848076
0,0,0,1245,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.609762845362956,0.604495594666192,35.38091601809987,0,2582.9989999999966,168.05816681228512,1723.4432456970928
0,0,0,1358,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.796000122950048,0.6127675693613556,39.21313827447488,0,2583.157999999997,168.72640189914475,1892.1696475962376
0,0,0,1358,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,13.992064265858366,0.6214760172606122,43.09982279276887,0,2583.316999999997,169.47053418973897,2061.6401817859764
0,0,0,1258,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,14.186390309339057,0.6301072651778389,47.04048676758527,0,2583.4759999999965,170.20797969582665,2231.848161481803
0,0,0,1166,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,14.371542459737514,0.6383310425155148,51.032581895290136,0,2583.6349999999966,170.91522908867682,2402.7633905704797
0,0,0,1231,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,14.541997971223784,0.6459020492223018,55.07202577618563,0,2583.6289999999963,22.16723874729328,2424.930629317773
0,0,0,1133,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,14.704785833009701,0.6531324871390244,59.156688507577215,0,2583.6279999999965,27.342703169291642,2452.2733324870646
0,0,0,1184,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,14.855324342592947,0.6598188538968178,63.28316749163081,0,2583.6269999999963,27.94673649007505,2480.22006897714
0,0,0,1184,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.005357447581828,0.6664827724419355,67.45132233818131,0,2583.625999999996,28.572058020623437,2508.7921269977633
0,0,0,1286,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.132575203321968,0.6721333171121122,71.6548154502152,0,2583.6249999999964,29.087741105916827,2537.87986810368
0,0,0,1370,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.255521529598774,0.6775941406003072,75.89246031954819,0,2583.623999999996,29.611338147347492,2567.4912062510275
0,0,0,1406,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.37407580906872,0.6828598855278778,80.16303693317839,0,2583.622999999996,30.122645360328868,2597.6138516113565
0,0,0,1406,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.490320531067388,0.688023048409539,84.46590374736377,0,2583.621999999996,30.632063375969388,2628.2459149873257
0,0,0,1697,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.587106115162348,0.6923219079765542,88.79565544601998,0,2583.6209999999965,31.047592739181706,2659.2935077265074
0,0,0,1697,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.685429826302205,0.6966890854880659,93.15271928665948,0,2583.6199999999963,31.490536558324298,2690.784044284832
0,0,0,1697,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.788054191376691,0.701247282225056,97.53828989537523,0,2583.6189999999965,31.95968311815636,2722.743727402988
0,0,0,2754,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,15.909757457487675,0.7066528935539589,101.95766696689958,0,2583.6179999999963,32.534282441742064,2755.27800984473
0,0,0,2754,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,16.07022965947878,0.7137804783820118,106.42161965008813,0,2583.6279999999965,43.282770453703755,2798.560780298434
0,0,0,2754,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,16.236814418833433,0.721179560519782,110.93184587754186,0,2583.6379999999967,44.07954867367556,2842.6403289721097
0,0,0,2754,0/0/2000,00:00:00.00,0.000000,0.000000,0.0,0.0,0.0,0.0,16.415716367394417,0.7291257268866089,115.49176709070697,0,2583.647999999997,44.957872372759184,2887.598201344869
0,0,0,0,22/9/2017,11:07:34.00,0.000000,0.000000,0.0,0.0,0.0,0.0,16.608623842623047,0.737693967221055,120.10527371365782,0,2583.657999999997,45.924789334957644,2933.5229906798263
0,0,0,1215,22/9/2017,11:07:34.00,0.000000,0.000000,0.0,0.0,0.0,0.0,16.835462692679993,0.7477693143903327,124.78179112829116,0,2583.6679999999974,47.1148310619544,2980.6378217417805
0,0,0,1120,22/9/2017,11:07:34.00,0.000000,0.000000,0.0,0.0,0.0,0.0,17.01298490849513,0.7556541981046874,129.5076202695398,0,2583.677999999997,47.95155407555066,3028.589375817331
0,0,2621,946,22/9/2017,11:07:37.00,0.000000,0.000000,0.0,0.0,0.0,0.0,17.194628884005667,0.7637221552205737,134.2839060706525,22.892025944296073,2583.6879999999974,48.90356768027882,3077.4929434976098
0,0,2621,828,22/9/2017,11:07:37.00,0.000000,0.000000,0.0,0.0,0.0,0.0,17.368213755753615,0.7714321565971284,139.10840989169517,22.892025944296073,2583.6979999999976,49.81367767364115,3127.3066211712508
0,0,2621,826,22/9/2017,11:07:37.00,0.000000,0.000000,0.0,0.0,0.0,0.0,17.532117590288287,0.7787121619176373,143.97844255566415,22.892025944296073,2583.7079999999974,50.685330904931284,3177.991952076182
0,0,2621,795,22/9/2017,11:07:40.00,0.000000,0.000000,0.0,0.0,0.0,0.0,17.69493815743254,0.7859440524860527,148.89370315495097,22.892025944296073,2583.7179999999976,51.575626905530484,3229.5675789817124
