V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,15.032597735520309,0.6488789544987161,0,0,2603.5339999999987,27.762971748978632,0
0,0,0,0,21/9/2017,23:00:39.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.131599437028216,0.6531523423521177,4.203222065841171,0,2603.662999999999,128.13800689347823,128.13800689347823
0,0,0,1215,21/9/2017,23:00:40.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.215342811780422,0.6567671077048157,8.42970618022462,0,2603.7989999999986,133.9007507090789,262.0387576025571
0,0,0,959,21/9/2017,23:00:41.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.228311403842742,0.6573268942837405,12.65979268129205,0,2603.931999999999,131.6097941578177,393.6485517603748
0,0,0,841,21/9/2017,23:00:42.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.213149781998736,0.6566724460304357,16.885667620736143,0,2604.0649999999987,131.54651313112862,525.1950648915034
0,0,0,828,21/9/2017,23:00:43.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.185170591514485,0.6554647300928076,21.1037705628235,0,2604.1949999999993,129.10739037612825,654.3024552676317
0,0,0,1025,21/9/2017,23:00:44.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.155882843153018,0.6542005305265872,25.31373801925489,0,2604.322999999999,127.43635577207125,781.7388110397029
0,0,3906,1088,21/9/2017,23:00:45.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.15104701186003,0.6539917928746701,29.52236218921601,15.360983102918587,2604.4609999999993,135.16026586223774,916.8990769019406
0,0,3906,1154,21/9/2017,23:00:46.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.156646291997248,0.6542334846371524,33.732541714770804,15.360983102918587,2604.5979999999995,134.4089042857765,1051.3079811877171
0,0,3906,1243,21/9/2017,23:00:47.00,4.662103,-74.06036,0.0,0.0,0.0,0.0,15.164558469222476,0.6545750121213597,37.944919067332606,15.360983102918587,2604.735999999999,135.21656680142405,1186.5245479891412
