V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,12.869996222878859,0.9902957664195005,0,0,2575.15,21.850964927676195,0
0,0,0,352,26/9/2017,16:32:09.00,4.660542,-74.10785,0.0,0.0,0.0,0.0,12.996113544351944,1.0,3.6100315400977623,0,2575.224,92.3226053072367,92.3226053072367
0,0,883,344,26/9/2017,16:32:10.00,4.660575,-74.10787,0.0,0.0,0.0,0.0,12.968910207965179,0.9979068098863612,7.212506597865867,67.95016987542469,2575.2920000000004,86.49855757377286,178.82116288100957
0,0,863,334,26/9/2017,16:32:11.00,4.660610,-74.10789,0.0,0.0,0.0,0.0,12.93719252230561,0.9954662582898146,10.806171187395204,69.52491309385863,2575.358,84.50078798533603,263.3219508663456
0,0,842,326,26/9/2017,16:32:12.00,4.660646,-74.10791,0.0,0.0,0.0,0.0,12.896523766342888,0.9923369569164515,14.388538900268228,71.25890736342043,2575.4230000000002,83.42047256401905,346.7424234303647
0,0,820,320,26/9/2017,16:32:13.00,4.660681,-74.10793,0.0,0.0,0.0,0.0,12.84863394386053,0.988652022776801,17.95760388467393,73.17073170731707,2575.4890000000005,84.20806922900697,430.95049265937166
0,0,804,314,26/9/2017,16:32:14.00,4.660717,-74.10795,0.0,0.0,0.0,0.0,12.793222926141961,0.9843883621424531,21.511276919713364,74.6268656716418,2575.5630000000006,91.59214053235091,522.5426331917225
0,0,800,321,26/9/2017,16:32:15.00,4.660752,-74.10798,0.0,0.0,0.0,0.0,12.744745424271786,0.9806582083772728,25.05148398201108,75.0,2575.6370000000006,91.42881914658217,613.9714523383047
0,0,800,326,26/9/2017,16:32:16.00,4.660787,-74.10800,0.0,0.0,0.0,0.0,12.698567887873642,0.9771050279406327,28.57886395086487,75.0,2575.7090000000007,89.38440632813861,703.3558586664434
0,0,800,332,26/9/2017,16:32:17.00,4.660823,-74.10802,0.0,0.0,0.0,0.0,12.645051846553264,0.9729871783129157,32.091378352685226,75.0,2575.779000000001,87.32041409065309,790.6762727570965
0,0,800,333,26/9/2017,16:32:18.00,4.660858,-74.10804,0.0,0.0,0.0,0.0,12.568490006486693,0.9670960447978623,35.582625576709304,75.0,2575.8490000000006,87.08282411124273,877.7590968683393
0,0,0,356,26/9/2017,16:32:19.00,4.660892,-74.10806,0.0,0.0,0.0,0.0,12.472781967346904,0.9597316863061359,39.047287234305664,0,2575.918000000001,85.84149284787043,963.6005897162097
