V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,16.26772255707709,0.867010757865337,0,0,2577.7689999999984,35.65359558174839,0
0,0,0,489,24/9/2017,14:14:24.00,4.652432,-74.09348,0.0,0.0,0.0,0.0,16.44664332456486,0.8765465874612219,4.5685120346013495,0,2577.7939999999985,60.29114518783566,60.29114518783566
0,0,0,465,24/9/2017,14:14:25.00,4.652449,-74.09347,0.0,0.0,0.0,0.0,16.517983325512986,0.8803487514132522,9.156840736132734,0,2577.8229999999985,64.3245170842244,124.61566227206006
0,0,0,508,24/9/2017,14:14:26.00,4.652461,-74.09345,0.0,0.0,0.0,0.0,16.586325126732383,0.8839911221668236,13.764153271336173,0,2577.8509999999983,63.71682884744168,188.33249111950175
0,0,0,490,24/9/2017,14:14:27.00,4.652469,-74.09342,0.0,0.0,0.0,0.0,16.6678995878907,0.88833874582116,18.39412537908359,0,2577.892999999998,77.37345220601685,265.7059433255186
0,0,0,507,24/9/2017,14:14:28.00,4.652477,-74.09340,0.0,0.0,0.0,0.0,16.74972104445716,0.8926995334371542,23.04682566921058,0,2577.9349999999986,77.78662947731999,343.4925728028386
0,0,0,485,24/9/2017,14:14:29.00,4.652487,-74.09338,0.0,0.0,0.0,0.0,16.830446818629966,0.8970019251455978,27.721949785496683,0,2577.9849999999983,85.76277099838815,429.25534380122673
0,0,1204,456,24/9/2017,14:14:30.00,4.652497,-74.09336,0.0,0.0,0.0,0.0,16.910504023402936,0.9012686845238242,32.41931201421972,49.83388704318937,2578.0389999999984,89.95597976565803,519.2113235668847
0,0,1109,429,24/9/2017,14:14:31.00,4.652506,-74.09334,0.0,0.0,0.0,0.0,16.98244276152862,0.905102759001268,37.13665722575545,54.10279531109107,2578.0979999999986,95.05178888947732,614.263112456362
0,0,1041,396,24/9/2017,14:14:32.00,4.652519,-74.09331,0.0,0.0,0.0,0.0,17.04724475391397,0.9085564707505357,41.87200299073155,57.63688760806916,2578.1589999999987,97.27669422985225,711.5398066862143
0,0,1041,385,24/9/2017,14:14:33.00,4.652531,-74.09328,0.0,0.0,0.0,0.0,17.10469820036282,0.9116185315874364,46.62330804638789,57.63688760806916,2578.2189999999987,96.62821472160911,808.1680214078234
0,0,1041,390,24/9/2017,14:14:34.00,4.652543,-74.09325,0.0,0.0,0.0,0.0,17.159798408745335,0.9145551733490996,51.389918715483816,57.63688760806916,2578.274999999999,93.13415469868099,901.3021761065044
0,0,1041,383,24/9/2017,14:14:35.00,4.652558,-74.09322,0.0,0.0,0.0,0.0,17.218018336029576,0.9176580848415025,56.17270158660314,57.63688760806916,2578.324999999999,87.76902356337123,989.0711996698756
0,0,3289,370,24/9/2017,14:14:36.00,4.652574,-74.09318,0.0,0.0,0.0,0.0,17.27172593733918,0.9205205056844441,60.970403235864026,18.242626938279113,2578.3719999999994,85.21556093216533,1074.2867606020409
0,0,3289,370,24/9/2017,14:14:37.00,4.652588,-74.09315,0.0,0.0,0.0,0.0,17.321381277156867,0.9231669556504023,65.78189803507426,18.242626938279113,2578.4279999999994,93.99122286532972,1168.2779834673706
0,0,2647,355,24/9/2017,14:14:38.00,4.652601,-74.09312,0.0,0.0,0.0,0.0,17.372434454364335,0.9258879052920486,70.60757427239768,22.667170381564034,2578.497999999999,107.50646643936918,1275.7844499067398
0,0,864,332,24/9/2017,14:14:39.00,4.652614,-74.09308,0.0,0.0,0.0,0.0,17.417582633269102,0.9282941398876486,75.445791670528,69.44444444444444,2578.5549999999994,95.45331872627997,1371.2377686330199
0,0,832,320,24/9/2017,14:14:40.00,4.652629,-74.09305,0.0,0.0,0.0,0.0,17.45334682684168,0.9302002420150367,80.29394356687291,72.11538461538461,2578.5999999999995,84.29520043428994,1455.5329690673098
0,0,804,312,24/9/2017,14:14:41.00,4.652646,-74.09300,0.0,0.0,0.0,0.0,17.480474708718763,0.9316460599740661,85.14963098596145,74.6268656716418,2578.6339999999996,74.03722143349539,1529.5701905008052
0,0,783,305,24/9/2017,14:14:42.00,4.652665,-74.09296,0.0,0.0,0.0,0.0,17.506255101356064,0.9330200616316496,90.01247962522703,76.62835249042146,2578.6669999999995,73.23165507405241,1602.8018455748577
0,0,1794,301,24/9/2017,14:14:43.00,4.652682,-74.09292,0.0,0.0,0.0,0.0,17.530383643979636,0.934306025659672,94.88203063744359,33.44481605351171,2578.7039999999993,77.14617628758816,1679.9480218624458
0,0,1005,292,24/9/2017,14:14:44.00,4.652700,-74.09288,0.0,0.0,0.0,0.0,17.553720842812996,0.9355498139266513,99.75806420489164,59.70149253731343,2578.736999999999,73.49073224826552,1753.4387541107112
0,0,995,290,24/9/2017,14:14:45.00,4.652718,-74.09283,0.0,0.0,0.0,0.0,17.574753634970698,0.9366707856548505,104.63994021460572,60.30150753768845,2578.7739999999994,77.38877688308048,1830.8275309937917
0,0,989,289,24/9/2017,14:14:46.00,4.652739,-74.09279,0.0,0.0,0.0,0.0,17.590113138283257,0.9374893916127979,109.52608275301773,60.66734074823054,2578.8069999999993,73.68934885713252,1904.5168798509242
0,0,991,288,24/9/2017,14:14:47.00,4.652757,-74.09275,0.0,0.0,0.0,0.0,17.60558373096077,0.9383139182319908,114.41652267828461,60.544904137235115,2578.8389999999995,72.82873735413582,1977.34561720506
0,0,1005,294,24/9/2017,14:14:48.00,4.652774,-74.09271,0.0,0.0,0.0,0.0,17.6211666232759,0.9391444300155839,119.31129118475013,59.70149253731343,2578.8659999999995,68.1858039428234,2045.5314211478835
0,0,1012,299,24/9/2017,14:14:49.00,4.652792,-74.09266,0.0,0.0,0.0,0.0,17.63822940435651,0.9400538145163391,124.21079935262694,59.28853754940711,2578.8869999999997,62.605556065248926,2108.1369772131325
0,0,1015,298,24/9/2017,14:14:50.00,4.652809,-74.09263,0.0,0.0,0.0,0.0,17.659683969190805,0.941197265202284,129.1162671218466,59.11330049261083,2578.9009999999994,56.10442777369083,2164.2414049868235
0,0,1027,300,24/9/2017,14:14:51.00,4.652826,-74.09258,0.0,0.0,0.0,0.0,17.681291761511066,0.9423488823588746,134.02773705559966,58.42259006815969,2578.9179999999997,59.06151941866548,2223.3029244054887
0,0,1027,301,24/9/2017,14:14:52.00,4.652842,-74.09254,0.0,0.0,0.0,0.0,17.708576602874807,0.9438030656906847,138.94678611195377,58.42259006815969,2578.948,71.5091346413406,2294.8120590468293
0,0,1024,304,24/9/2017,14:14:53.00,4.652858,-74.09250,0.0,0.0,0.0,0.0,17.738773661912106,0.9454124596884845,143.8742232402627,58.59375,2578.981,74.51525235980583,2369.327311406635
0,0,1036,306,24/9/2017,14:14:54.00,4.652876,-74.09246,0.0,0.0,0.0,0.0,17.769100221007662,0.9470287555708757,148.8100844127648,57.915057915057915,2579.021,81.3050141765055,2450.6323255831408
0,0,1044,306,24/9/2017,14:14:55.00,4.652896,-74.09242,0.0,0.0,0.0,0.0,17.801318335862245,0.9487458645318293,153.75489506161543,57.47126436781609,2579.0690000000004,89.05202025902172,2539.6843458421627
0,0,1042,307,24/9/2017,14:14:56.00,4.652914,-74.09238,0.0,0.0,0.0,0.0,17.835912814965308,0.9505896251098616,158.70931528799468,57.58157389635316,2579.1290000000004,100.59606547177466,2640.2804113139373
0,0,1048,307,24/9/2017,14:14:57.00,4.652931,-74.09233,0.0,0.0,0.0,0.0,17.869467288601328,0.9523779571590998,163.67305620149506,57.25190839694656,2579.1920000000005,103.62222900049306,2743.9026403144303
0,0,1059,309,24/9/2017,14:14:58.00,4.652945,-74.09230,0.0,0.0,0.0,0.0,17.90302176223735,0.9541662892083383,168.64611780211655,56.657223796033996,2579.2820000000006,129.3469476801844,2873.2495879946146
0,0,1066,306,24/9/2017,14:14:59.00,4.652962,-74.09226,0.0,0.0,0.0,0.0,17.938458496768906,0.9560549389535425,173.62902294010792,56.28517823639775,2579.3830000000003,139.95152509140271,3013.2011130860174
0,0,1067,308,24/9/2017,14:15:00.00,4.652979,-74.09222,0.0,0.0,0.0,0.0,17.971462544591084,0.9578139352982694,178.621095869161,56.232427366447986,2579.489,144.86739998611884,3158.0685130721363
0,0,1066,314,24/9/2017,14:15:01.00,4.652996,-74.09218,0.0,0.0,0.0,0.0,18.00715430112823,0.9597161767937364,183.62308317502996,56.28517823639775,2579.5969999999998,146.96339296932823,3305.0319060414645
0,0,1098,322,24/9/2017,14:15:02.00,4.653011,-74.09215,0.0,0.0,0.0,0.0,18.044463590347853,0.9617046269291643,188.63543417234882,54.6448087431694,2579.6890000000003,132.0460782645273,3437.077984305992
0,0,1139,338,24/9/2017,14:15:03.00,4.653029,-74.09211,0.0,0.0,0.0,0.0,18.082756737885425,0.963745513153472,193.65842215509477,52.67778753292362,2579.74,93.49119983296565,3530.5691841389576
0,0,1139,354,24/9/2017,14:15:04.00,4.653050,-74.09208,0.0,0.0,0.0,0.0,18.130193187409727,0.9662737042944387,198.69458692937525,52.67778753292362,2579.765,69.17828174846534,3599.747465887423
0,0,1195,361,24/9/2017,14:15:05.00,4.653072,-74.09205,0.0,0.0,0.0,0.0,18.184544102457917,0.9691704114322246,203.745849180058,50.2092050209205,2579.783,62.875889158206135,3662.623355045629
0,0,1223,357,24/9/2017,14:15:06.00,4.653098,-74.09202,0.0,0.0,0.0,0.0,18.242507203092906,0.9722596349933864,208.81321229202825,49.05968928863451,2579.7819999999997,45.245686006806565,3707.8690410524355
0,0,1214,350,24/9/2017,14:15:07.00,4.653124,-74.09200,0.0,0.0,0.0,0.0,18.300443451612754,0.9753474274339585,213.89666880636514,49.423393739703464,2579.779,43.69384887145457,3751.56288992389
0,0,1194,348,24/9/2017,14:15:08.00,4.653146,-74.09197,0.0,0.0,0.0,0.0,18.3578968980616,0.9784094882708592,218.99608461138226,50.25125628140704,2579.779,46.86972132841753,3798.4326112523077
0,0,1178,341,24/9/2017,14:15:09.00,4.653164,-74.09194,0.0,0.0,0.0,0.0,18.414501278799385,0.9814262969771654,224.1112238554932,50.93378607809847,2579.7709999999997,39.63854976171911,3838.071161014027
0,0,1178,336,24/9/2017,14:15:10.00,4.653188,-74.09191,0.0,0.0,0.0,0.0,18.4672444656452,0.9842373180183086,229.24101398483907,50.93378607809847,2579.7580000000003,35.22219041719115,3873.293351431218
0,0,1144,331,24/9/2017,14:15:11.00,4.653216,-74.09189,0.0,0.0,0.0,0.0,18.51533607818609,0.9868004269777678,234.3841628954463,52.44755244755245,2579.7450000000003,35.50823576066513,3908.8015871918833
0,0,1144,340,24/9/2017,14:15:12.00,4.653247,-74.09186,0.0,0.0,0.0,0.0,18.55723358054487,0.9890334122739763,239.5389500011532,52.44755244755245,2579.723,27.24576467819659,3936.04735187008
0,0,2083,339,24/9/2017,14:15:13.00,4.653278,-74.09183,0.0,0.0,0.0,0.0,18.60027584064806,0.9913274090163825,244.70569329022211,28.80460873739798,2579.712,37.90955280754824,3973.9569046776282
0,0,2083,341,24/9/2017,14:15:14.00,4.653310,-74.09181,0.0,0.0,0.0,0.0,18.642869479357845,0.9935974958615721,249.8842681455993,28.80460873739798,2579.7110000000002,47.625278275923066,4021.582182953551
0,0,2083,348,24/9/2017,14:15:15.00,4.653339,-74.09178,0.0,0.0,0.0,0.0,18.68133613263188,0.9956476293139129,255.0735281824415,28.80460873739798,2579.7140000000004,51.64100969122402,4073.2231926447753
0,0,2083,352,24/9/2017,14:15:16.00,4.653372,-74.09175,0.0,0.0,0.0,0.0,18.716764230362333,0.9975358187488652,260.27262935754214,28.80460873739798,2579.721,55.63940484182963,4128.8625974866045
0,0,3860,326,24/9/2017,14:15:17.00,4.653405,-74.09173,0.0,0.0,0.0,0.0,18.748170013197818,0.9992096333521087,265.4804543612082,15.544041450777202,2579.7340000000004,61.505228279547346,4190.367825766152
0,0,1111,310,24/9/2017,14:15:18.00,4.653440,-74.09170,0.0,0.0,0.0,0.0,18.761916543329747,0.9999422736750478,270.6920978454665,54.005400540054005,2579.751,65.36960361113115,4255.737429377284
0,0,1062,300,24/9/2017,14:15:19.00,4.653476,-74.09168,0.0,0.0,0.0,0.0,18.762999662345333,1.0,275.904042196118,56.497175141242934,2579.7670000000003,64.4297641365838,4320.1671935138675
0,0,1037,301,24/9/2017,14:15:20.00,4.653510,-74.09166,0.0,0.0,0.0,0.0,18.75072632548784,0.9993458755487735,281.1125772865313,57.85920925747348,2579.7790000000005,60.57195708900603,4380.739150602873
0,0,1027,295,24/9/2017,14:15:21.00,4.653539,-74.09163,0.0,0.0,0.0,0.0,18.733753287913178,0.9984412740522056,286.31639764428496,58.42259006815969,2579.7930000000006,62.36008272366203,4443.099233326536
0,0,1014,293,24/9/2017,14:15:22.00,4.653570,-74.09161,0.0,0.0,0.0,0.0,18.706632337037416,0.996995825490471,291.5126844045731,59.171597633136095,2579.815,69.76220491093822,4512.861438237474
0,0,1002,292,24/9/2017,14:15:23.00,4.653606,-74.09159,0.0,0.0,0.0,0.0,18.67182020622358,0.9951404648636892,296.6993011285241,59.88023952095808,2579.8390000000004,71.44337922360154,4584.304817461076
0,0,1001,290,24/9/2017,14:15:24.00,4.653645,-74.09156,0.0,0.0,0.0,0.0,18.630811617914738,0.9929548554703714,301.87452657794483,59.94005994005994,2579.867,74.97916533296805,4659.283982794044
0,0,990,285,24/9/2017,14:15:25.00,4.653686,-74.09154,0.0,0.0,0.0,0.0,18.579554751769997,0.9902230499452876,307.03551400899204,60.60606060606061,2579.897,76.56427950993918,4735.848262303984
0,0,977,285,24/9/2017,14:15:26.00,4.653727,-74.09151,0.0,0.0,0.0,0.0,18.517265907329943,0.9869032798892736,312.17919898325033,61.412487205731836,2579.93,79.03155904152709,4814.87982134551
0,0,977,284,24/9/2017,14:15:27.00,4.653767,-74.09149,0.0,0.0,0.0,0.0,18.436629491261375,0.9826056506445002,317.30048495304516,61.412487205731836,2579.9649999999997,80.45104706565331,4895.3308684111635
0,0,977,288,24/9/2017,14:15:28.00,4.653806,-74.09146,0.0,0.0,0.0,0.0,18.36623927571283,0.9788541068180721,322.4022180851876,61.412487205731836,2579.999,79.08164306709017,4974.412511478254
0,0,2206,285,24/9/2017,14:15:29.00,4.653832,-74.09144,0.0,0.0,0.0,0.0,18.305022431312953,0.9755914704858479,327.4869465383301,27.198549410698096,2580.0429999999997,88.17356021479966,5062.586071693054
0,0,969,275,24/9/2017,14:15:30.00,4.653869,-74.09142,0.0,0.0,0.0,0.0,18.250016171941,0.9726598358665529,332.5563954749804,61.919504643962846,2580.0759999999996,77.44470552217605,5140.03077721523
0,0,958,278,24/9/2017,14:15:31.00,4.653911,-74.09140,0.0,0.0,0.0,0.0,18.194571587256092,0.9697048400938793,337.6104431381071,62.63048016701461,2580.1099999999997,78.06700329249925,5218.097780507729
0,0,959,279,24/9/2017,14:15:32.00,4.653954,-74.09138,0.0,0.0,0.0,0.0,18.151017782498208,0.9673835798720775,342.6523925221344,62.56517205422315,2580.1469999999995,80.6467747486759,5298.744555256405
0,0,961,281,24/9/2017,14:15:33.00,4.654000,-74.09136,0.0,0.0,0.0,0.0,18.112582100764648,0.965335097090793,347.68366532790236,62.434963579604585,2580.1799999999994,76.6396590322795,5375.384214288684
0,0,964,282,24/9/2017,14:15:34.00,4.654044,-74.09134,0.0,0.0,0.0,0.0,18.084785333820975,0.9638536299776502,352.7072168095193,62.24066390041494,2580.2239999999997,86.87997424029815,5462.264188528982
0,0,975,285,24/9/2017,14:15:35.00,4.654088,-74.09132,0.0,0.0,0.0,0.0,18.062007437779403,0.9626396505259912,357.7244410977914,61.53846153846154,2580.269,87.69364742495378,5549.957835953936
0,0,983,285,24/9/2017,14:15:36.00,4.654132,-74.09129,0.0,0.0,0.0,0.0,18.033106775383153,0.961099349778971,362.7336374242867,61.03763987792472,2580.301,75.23397736268544,5625.191813316622
0,0,1012,299,24/9/2017,14:15:37.00,4.654172,-74.09127,0.0,0.0,0.0,0.0,18.008366056816662,0.9597807589879611,367.735961328958,59.28853754940711,2580.33,72.25411354356817,5697.44592686019
0,0,1002,297,24/9/2017,14:15:38.00,4.654211,-74.09126,0.0,0.0,0.0,0.0,17.99601342857873,0.9591224085930229,372.73485394800764,59.88023952095808,2580.354,67.45289726636221,5764.898824126552
0,0,1012,289,24/9/2017,14:15:39.00,4.654251,-74.09125,0.0,0.0,0.0,0.0,17.98658755915555,0.958620043854292,377.7311282699953,59.28853754940711,2580.373,62.669953621669,5827.568777748222
0,0,986,278,24/9/2017,14:15:40.00,4.654294,-74.09123,0.0,0.0,0.0,0.0,17.971300025224632,0.9578052736040107,382.7231560547799,60.851926977687626,2580.382,53.12551253152881,5880.694290279751
0,0,956,279,24/9/2017,14:15:41.00,4.654336,-74.09121,0.0,0.0,0.0,0.0,17.947903752746477,0.9565583369254844,387.7086848749873,62.76150627615062,2580.3900000000003,52.04766771014261,5932.741957989893
0,0,951,277,24/9/2017,14:15:42.00,4.654380,-74.09118,0.0,0.0,0.0,0.0,17.925174148247542,0.9553469312383357,392.68789991616717,63.09148264984227,2580.393,47.189471615192,5979.931429605085
0,0,945,277,24/9/2017,14:15:43.00,4.654426,-74.09116,0.0,0.0,0.0,0.0,17.90009011871719,0.9540100432150048,397.66014717136636,63.492063492063494,2580.3890000000006,40.42717009208819,6020.358599697173
0,0,942,269,24/9/2017,14:15:44.00,4.654471,-74.09114,0.0,0.0,0.0,0.0,17.87058575373627,0.952437567304336,402.62419876962645,63.69426751592356,2580.3860000000004,41.20700253070223,6061.565602227875
0,0,942,281,24/9/2017,14:15:45.00,4.654517,-74.09112,0.0,0.0,0.0,0.0,17.835529809642555,0.9505692123118203,407.57851260563825,63.69426751592356,2580.3770000000004,35.33596739489494,6096.901569622771
0,0,944,275,24/9/2017,14:15:46.00,4.654561,-74.09110,0.0,0.0,0.0,0.0,17.807262507065673,0.949062667351762,412.5249744131565,63.559322033898304,2580.3680000000004,35.175435414738594,6132.0770050375095
0,0,946,284,24/9/2017,14:15:47.00,4.654608,-74.09108,0.0,0.0,0.0,0.0,17.770869708142065,0.9471230628333736,417.4613271098626,63.42494714587738,2580.36,35.91925283921634,6167.996257876725
