type,latitude,longitude,altitude (m),name
T,4.72234,-74.05164,2556.2,
T,4.722288,-74.05164,2556.3,
T,4.722247,-74.05165,2556.3,
T,4.722213,-74.05167,2556.3,
T,4.72219,-74.05169,2556.4,
T,4.722138,-74.05171,2556.5,
T,4.722088,-74.05172,2556.5,
T,4.722038,-74.05172,2556.6,
T,4.721978,-74.05174,2556.7,
T,4.72192,-74.05175,2556.7,
T,4.721868,-74.05176,2556.8,
T,4.721813,-74.05176,2556.8,
T,4.721762,-74.05177,2556.9,
T,4.721712,-74.05178,2557,
T,4.72165,-74.05179,2557,
T,4.721595,-74.05179,2556.8,
T,4.72155,-74.05179,2556.7,
T,4.721502,-74.0518,2556.6,
T,4.721448,-74.05181,2556.5,
T,4.721395,-74.05182,2556.4,
T,4.721342,-74.05183,2556.3,
T,4.721282,-74.05184,2556.2,
T,4.721222,-74.05185,2556.1,
T,4.721167,-74.05186,2555.9,
T,4.721117,-74.05187,2555.8,
T,4.721065,-74.05188,2555.7,
T,4.72102,-74.0519,2555.7,
T,4.720972,-74.0519,2555.6,
T,4.720918,-74.05191,2555.5,
T,4.720862,-74.05191,2555.4,
T,4.720805,-74.05191,2555.3,
T,4.720742,-74.05192,2555.3,
T,4.720692,-74.05193,2555.3,
T,4.720638,-74.05194,2555.3,
T,4.72059,-74.05196,2555.3,
T,4.720538,-74.05197,2555.3,
T,4.720492,-74.05198,2555.3,
T,4.720447,-74.05199,2555.3,
T,4.72041,-74.05199,2555.3,
T,4.720392,-74.05199,2555.3,
T,4.720378,-74.052,2555.3,
T,4.720363,-74.05201,2555.3,
T,4.720342,-74.05201,2555.3,
T,4.720308,-74.05201,2555.3,
T,4.720273,-74.05202,2555.2,
T,4.720238,-74.05203,2555.2,
T,4.720202,-74.05203,2555.2,
T,4.720168,-74.05203,2555.2,
T,4.720123,-74.05204,2555.2,
T,4.720083,-74.05203,2555.2,
T,4.720047,-74.05203,2555.1,
T,4.72,-74.05204,2555.1,
T,4.719968,-74.05204,2555.1,
T,4.71993,-74.05204,2555,
T,4.719872,-74.05206,2554.9,
T,4.719815,-74.05206,2554.8,
T,4.719753,-74.05205,2554.8,
T,4.719682,-74.05204,2554.7,
T,4.719632,-74.05205,2554.6,
T,4.719587,-74.05207,2554.5,
T,4.719537,-74.05208,2554.4,
T,4.71948,-74.05209,2554.4,
T,4.719443,-74.0521,2554.3,
T,4.719393,-74.05212,2554.2,
